id,complaint_text,category,department,auto_reply
1,My lower back hurts when sitting long hours I would like a doctor consultation for this issue.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
2,My skin feels extremely dry and flaky This problem appears after physical activity.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
3,I cannot lift heavy objects due to arm pain I am worried about this situation.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
4,I feel dizziness along with chest tightness I am worried about this situation.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
5,The restroom is not hygienic This problem has been happening for a week.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
6,The hospital phone line is always busy This problem is affecting my daily activities.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
7,I experience occasional memory problems This problem has been happening for a week.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
8,The reception staff did not respond properly I would like a doctor consultation for this issue.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
9,I have severe migraines every week This problem is affecting my daily activities.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
10,The bedsheets were not changed The condition seems to be getting worse.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
11,The hospital billing process is very slow I am worried about this situation.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
12,The hospital billing process is very slow I would like a doctor consultation for this issue.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
13,I experience occasional memory problems The condition seems to be getting worse.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
14,My skin feels extremely dry and flaky I am worried about this situation.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
15,My child has a continuous fever since yesterday I would like a doctor consultation for this issue.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
16,The staff did not guide patients properly The discomfort increases during the night.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
17,My blood pressure suddenly increases This problem has been happening for a week.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
18,My child has a continuous fever since yesterday This problem has been happening for a week.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
19,I have sudden acne breakouts The condition seems to be getting worse.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
20,I notice dark patches appearing on my skin I would like a doctor consultation for this issue.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
21,The bedsheets were not changed This issue started two days ago.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
22,I feel numbness in my hands and legs I would like a doctor consultation for this issue.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
23,I sometimes lose balance while walking This problem is affecting my daily activities.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
24,My ankle hurts after a minor fall This problem is affecting my daily activities.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
25,My child has vomiting issues since morning Please guide me on what to do next.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
26,My skin feels extremely dry and flaky This problem is affecting my daily activities.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
27,My child has developed a skin rash I need medical advice regarding this issue.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
28,I feel stiffness in my shoulder every morning Please guide me on what to do next.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
29,My child has a continuous fever since yesterday This issue started two days ago.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
30,I have frequent headaches that last for hours This problem is affecting my daily activities.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
31,I get shortness of breath when walking I would like a doctor consultation for this issue.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
32,Trash bins are overflowing in the ward I am worried about this situation.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
33,The bedsheets were not changed I am worried about this situation.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
34,My child complains about stomach pain This problem has been happening for a week.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
35,The bedsheets were not changed I would like a doctor consultation for this issue.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
36,The ward room is not cleaned properly Please guide me on what to do next.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
37,I have pain in my wrist while typing I need medical advice regarding this issue.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
38,I feel tingling sensations in my arms I am worried about this situation.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
39,I experience pressure in my chest at night This problem appears after physical activity.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
40,My child has difficulty sleeping at night This issue started two days ago.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
41,The appointment system is confusing Please guide me on what to do next.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
